Name	Trim Slug	Family	Name	Variation 1	Variation 2	Variation 3	Variation 4	Variation 5	Variation 6
French Defense: Winawer, Advance, Poisoned Pawn, Main Line	French-Defense-Winawer-Advance-Poisoned-Pawn-Main-Line	French Defense	French Defense	Winawer Variation	Advance Variation	Poisoned Pawn Variation	Main Line		
French Defense: Winawer, Advance, Poisoned Pawn, Paoli Variation	French-Defense-Winawer-Advance-Poisoned-Pawn-Paoli-Variation	French Defense	French Defense	Winawer Variation	Advance Variation	Poisoned Pawn Variation	Paoli Variation		
French Defense: Winawer, Advance, Poisoned Pawn Variation	French-Defense-Winawer-Advance-Poisoned-Pawn-Variation	French Defense	French Defense	Winawer Variation	Advance Variation	Poisoned Pawn Variation			
French Defense: Winawer, Advance, Retreat Variation	French-Defense-Winawer-Advance-Retreat-Variation	French Defense	French Defense	Winawer Variation	Advance Variation	Retreat Variation			
French Defense: Winawer, Advance, Retreat Variation, Armenian Line	French-Defense-Winawer-Advance-Retreat-Variation-Armenian-Line	French Defense	French Defense	Winawer Variation	Advance Variation	Retreat Variation	Armenian Line		
French Defense: Winawer, Advance, Smyslov Variation	French-Defense-Winawer-Advance-Smyslov-Variation	French Defense	French Defense	Winawer Variation	Advance Variation	Smyslov Variation			
French Defense: Winawer, Advance Variation	French-Defense-Winawer-Advance-Variation	French Defense	French Defense	Winawer Variation	Advance Variation				
French Defense: Winawer, Alekhine-Maróczy Accepted, Kan Variation	French-Defense-Winawer-Alekhine-Maroczy-Accepted-Kan-Variation	French Defense	French Defense	Winawer Variation	Alekhine-Maróczy Accepted	Kan Variation			
French Defense: Winawer, Alekhine-Maróczy, Alatortsev Variation	French-Defense-Winawer-Alekhine-Maroczy-Alatortsev-Variation	French Defense	French Defense	Winawer Variation	Alekhine-Maróczy	Alatortsev Variation			
French Defense: Winawer, Alekhine-Maróczy Gambit	French-Defense-Winawer-Alekhine-Maroczy-Gambit	French Defense	French Defense	Winawer Variation	Alekhine-Maróczy Gambit				
French Defense: Winawer, Alekhine-Maróczy Gambit Accepted	French-Defense-Winawer-Alekhine-Maroczy-Gambit-Accepted	French Defense	French Defense	Winawer Variation	Alekhine-Maróczy Gambit Accepted				
French Defense: Winawer, Classical Variation	French-Defense-Winawer-Classical-Variation	French Defense	French Defense	Winawer Variation	Classical Variation				
French Defense: Winawer, Delayed Exchange, Canal Attack	French-Defense-Winawer-Delayed-Exchange-Canal-Attack	French Defense	French Defense	Winawer Variation	Delayed Exchange Variation	Canal Attack			
French Defense: Winawer, Delayed Exchange Variation	French-Defense-Winawer-Delayed-Exchange-Variation	French Defense	French Defense	Winawer Variation	Delayed Exchange Variation				
French Defense: Winawer, Fingerslip, Kunin Double Gambit	French-Defense-Winawer-Fingerslip-Kunin-Double-Gambit	French Defense	French Defense	Winawer Variation	Fingerslip Variation	Kunin Double Gambit			
French Defense: Winawer, Fingerslip, Main Line	French-Defense-Winawer-Fingerslip-Main-Line	French Defense	French Defense	Winawer Variation	Fingerslip Variation	Main Line			
French Defense: Winawer, Fingerslip, Schwarz Line	French-Defense-Winawer-Fingerslip-Schwarz-Line	French Defense	French Defense	Winawer Variation	Fingerslip Variation	Schwarz Line			
French Defense: Winawer, Fingerslip Variation	French-Defense-Winawer-Fingerslip-Variation	French Defense	French Defense	Winawer Variation	Fingerslip Variation				
French Defense: Winawer, Kondratiyev Variation	French-Defense-Winawer-Kondratiyev-Variation	French Defense	French Defense	Winawer Variation	Kondratiyev Variation				
French Defense: Winawer, Positional Variation	French-Defense-Winawer-Positional-Variation	French Defense	French Defense	Winawer Variation	Positional Variation				
French Defense: Winawer Variation	French-Defense-Winawer-Variation	French Defense	French Defense	Winawer Variation					
French Defense: Winawer, Winckelmann-Riemer Gambit	French-Defense-Winawer-Winckelmann-Riemer-Gambit	French Defense	French Defense	Winawer Variation	Winckelmann-Riemer Gambit				
Giuoco Piano Game	Giuoco-Piano-Game	Italian Game	Giuoco Piano Game						
Giuoco Piano Game: Center Attack	Giuoco-Piano-Game-Center-Attack	Italian Game	Giuoco Piano Game	Center Attack					
Giuoco Piano Game: Center Attack, Aitken Variation	Giuoco-Piano-Game-Center-Attack-Aitken-Variation	Italian Game	Giuoco Piano Game	Center Attack	Aitken Variation				
Giuoco Piano Game: Center Attack, Anderssen Variation	Giuoco-Piano-Game-Center-Attack-Anderssen-Variation	Italian Game	Giuoco Piano Game	Center Attack	Anderssen Variation				
Giuoco Piano Game: Center Attack, Bernstein Variation	Giuoco-Piano-Game-Center-Attack-Bernstein-Variation	Italian Game	Giuoco Piano Game	Center Attack	Bernstein Variation				
Giuoco Piano Game: Center Attack, Dubov Gambit	Giuoco-Piano-Game-Center-Attack-Dubov-Gambit	Italian Game	Giuoco Piano Game	Center Attack	Dubov Gambit				
Giuoco Piano Game: Center Attack, Ghulam Kassim Variation	Giuoco-Piano-Game-Center-Attack-Ghulam-Kassim-Variation	Italian Game	Giuoco Piano Game	Center Attack	Ghulam Kassim Variation				
Giuoco Piano Game: Center Attack, Greco Attack	Giuoco-Piano-Game-Center-Attack-Greco-Attack	Italian Game	Giuoco Piano Game	Center Attack	Greco Attack				
Giuoco Piano Game: Center Attack, Greco Gambit	Giuoco-Piano-Game-Center-Attack-Greco-Gambit	Italian Game	Giuoco Piano Game	Center Attack	Greco Gambit				
Giuoco Piano Game: Center Attack, Greco, Møller Attack	Giuoco-Piano-Game-Center-Attack-Greco-Moller-Attack	Italian Game	Giuoco Piano Game	Center Attack	Greco	Møller Attack			
Giuoco Piano Game: Center Attack, Greco, Møller, Bayonet Attack	Giuoco-Piano-Game-Center-Attack-Greco-Moller-Bayonet-Attack	Italian Game	Giuoco Piano Game	Center Attack	Greco	Møller Attack	Bayonet Attack		
Giuoco Piano Game: Center Attack, Greco, Møller, Herzog Variation	Giuoco-Piano-Game-Center-Attack-Greco-Moller-Herzog-Variation	Italian Game	Giuoco Piano Game	Center Attack	Greco	Møller Attack	Herzog Variation		
Giuoco Piano Game: Center Attack, Greco, Steinitz Variation	Giuoco-Piano-Game-Center-Attack-Greco-Steinitz-Variation	Italian Game	Giuoco Piano Game	Center Attack	Greco	Steinitz Variation			
Giuoco Piano Game: Center Attack, Kraków Variation	Giuoco-Piano-Game-Center-Attack-Krakow-Variation	Italian Game	Giuoco Piano Game	Center Attack	Kraków Variation				
Giuoco Piano Game: Center Attack, Krause Variation	Giuoco-Piano-Game-Center-Attack-Krause-Variation	Italian Game	Giuoco Piano Game	Center Attack	Krause Variation				
Giuoco Piano Game: Center Attack, Mason Gambit	Giuoco-Piano-Game-Center-Attack-Mason-Gambit	Italian Game	Giuoco Piano Game	Center Attack	Mason Gambit				
Giuoco Piano Game: Closed	Giuoco-Piano-Game-Closed	Italian Game	Giuoco Piano Game	Closed					
Giuoco Piano Game: Closed, Center Holding, Eisinger Variation	Giuoco-Piano-Game-Closed-Center-Holding-Eisinger-Variation	Italian Game	Giuoco Piano Game	Closed	Center Holding Variation	Eisinger Variation			
Giuoco Piano Game: Closed, Center Holding, Mestel Variation	Giuoco-Piano-Game-Closed-Center-Holding-Mestel-Variation	Italian Game	Giuoco Piano Game	Closed	Center Holding Variation	Mestel Variation			
Giuoco Piano Game: Closed, Center Holding, Tarrasch Variation	Giuoco-Piano-Game-Closed-Center-Holding-Tarrasch-Variation	Italian Game	Giuoco Piano Game	Closed	Center Holding Variation	Tarrasch Variation			
Giuoco Piano Game: Closed, Center Holding Variation	Giuoco-Piano-Game-Closed-Center-Holding-Variation	Italian Game	Giuoco Piano Game	Closed	Center Holding Variation				
Giuoco Piano Game: Evans Accepted, Anderssen Variation	Giuoco-Piano-Game-Evans-Accepted-Anderssen-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Anderssen Variation				
Giuoco Piano Game: Evans Accepted, Anderssen Variation, Cordel Line	Giuoco-Piano-Game-Evans-Accepted-Anderssen-Variation-Cordel-Line	Italian Game	Giuoco Piano Game	Evans Accepted	Anderssen Variation	Cordel Line			
Giuoco Piano Game: Evans Accepted, Bronstein Defense	Giuoco-Piano-Game-Evans-Accepted-Bronstein-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Bronstein Defense				
Giuoco Piano Game: Evans Accepted, Bronstein, Sokolsky Variation	Giuoco-Piano-Game-Evans-Accepted-Bronstein-Sokolsky-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Bronstein Defense	Sokolsky Variation			
Giuoco Piano Game: Evans Accepted, Bronstein, Tartakower Attack	Giuoco-Piano-Game-Evans-Accepted-Bronstein-Tartakower-Attack	Italian Game	Giuoco Piano Game	Evans Accepted	Bronstein Defense	Tartakower Attack			
Giuoco Piano Game: Evans Accepted, Bronstein, Tartakower, Levenfish Variation	Giuoco-Piano-Game-Evans-Accepted-Bronstein-Tartakower-Levenfish-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Bronstein Defense	Tartakower Attack	Levenfish Variation		
Giuoco Piano Game: Evans Accepted, Laroche Variation	Giuoco-Piano-Game-Evans-Accepted-Laroche-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Laroche Variation				
Giuoco Piano Game: Evans Accepted, Leonhardt Countergambit	Giuoco-Piano-Game-Evans-Accepted-Leonhardt-Countergambit	Italian Game	Giuoco Piano Game	Evans Accepted	Leonhardt Countergambit				
Giuoco Piano Game: Evans Accepted, Main Line	Giuoco-Piano-Game-Evans-Accepted-Main-Line	Italian Game	Giuoco Piano Game	Evans Accepted	Main Line				
Giuoco Piano Game: Evans Accepted, Mayet Defense	Giuoco-Piano-Game-Evans-Accepted-Mayet-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Mayet Defense				
Giuoco Piano Game: Evans Accepted, McDonnell Defense	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense				
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Harding Variation	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Harding-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Harding Variation			
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Main-Line	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Main Line			
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Morphy-Attack	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Morphy Attack			
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, Fraser Attack	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Morphy-Attack-Fraser-Attack	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Morphy Attack	Fraser Attack		
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, Fraser, Mortimer Variation	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Morphy-Attack-Fraser-Mortimer-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Morphy Attack	Fraser Attack	Mortimer Variation	
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, Göring Attack	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Morphy-Attack-Goring-Attack	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Morphy Attack	Göring Attack		
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, Göring, Steinitz Variation	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Morphy-Attack-Goring-Steinitz-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Morphy Attack	Göring Attack	Steinitz Variation	
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Ulvestad, Paulsen Variation	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Ulvestad-Paulsen-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Ulvestad Variation	Paulsen Variation		
Giuoco Piano Game: Evans Accepted, McDonnell Defense, Ulvestad Variation	Giuoco-Piano-Game-Evans-Accepted-McDonnell-Defense-Ulvestad-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	McDonnell Defense	Ulvestad Variation			
Giuoco Piano Game: Evans Accepted, Pierce, Anderssen Defense	Giuoco-Piano-Game-Evans-Accepted-Pierce-Anderssen-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Anderssen Defense			
Giuoco Piano Game: Evans Accepted, Pierce, Compromised Defense	Giuoco-Piano-Game-Evans-Accepted-Pierce-Compromised-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Compromised Defense			
Giuoco Piano Game: Evans Accepted, Pierce, Compromised Defense, Main Line	Giuoco-Piano-Game-Evans-Accepted-Pierce-Compromised-Defense-Main-Line	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Compromised Defense	Main Line		
Giuoco Piano Game: Evans Accepted, Pierce, Compromised Defense, Potter Variation	Giuoco-Piano-Game-Evans-Accepted-Pierce-Compromised-Defense-Potter-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Compromised Defense	Potter Variation		
Giuoco Piano Game: Evans Accepted, Pierce Defense	Giuoco-Piano-Game-Evans-Accepted-Pierce-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense				
Giuoco Piano Game: Evans Accepted, Pierce, Dufresne Defense	Giuoco-Piano-Game-Evans-Accepted-Pierce-Dufresne-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Dufresne Defense			
Giuoco Piano Game: Evans Accepted, Pierce, Johner Defense	Giuoco-Piano-Game-Evans-Accepted-Pierce-Johner-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Johner Defense			
Giuoco Piano Game: Evans Accepted, Pierce, Mieses Defense	Giuoco-Piano-Game-Evans-Accepted-Pierce-Mieses-Defense	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Mieses Defense			
Giuoco Piano Game: Evans Accepted, Pierce, Waller Attack	Giuoco-Piano-Game-Evans-Accepted-Pierce-Waller-Attack	Italian Game	Giuoco Piano Game	Evans Accepted	Pierce Defense	Waller Attack			
Giuoco Piano Game: Evans Accepted, Slow Variation	Giuoco-Piano-Game-Evans-Accepted-Slow-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Slow Variation				
Giuoco Piano Game: Evans Accepted, Slow Variation, Alapin-Steinitz Variation	Giuoco-Piano-Game-Evans-Accepted-Slow-Variation-Alapin-Steinitz-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Slow Variation	Alapin-Steinitz Variation			
Giuoco Piano Game: Evans Accepted, Slow Variation, Richardson Attack	Giuoco-Piano-Game-Evans-Accepted-Slow-Variation-Richardson-Attack	Italian Game	Giuoco Piano Game	Evans Accepted	Slow Variation	Richardson Attack			
Giuoco Piano Game: Evans Accepted, Slow Variation, Sanders-Alapin Variation	Giuoco-Piano-Game-Evans-Accepted-Slow-Variation-Sanders-Alapin-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Slow Variation	Sanders-Alapin Variation			
Giuoco Piano Game: Evans Accepted, Stone-Ware Variation	Giuoco-Piano-Game-Evans-Accepted-Stone-Ware-Variation	Italian Game	Giuoco Piano Game	Evans Accepted	Stone-Ware Variation				
Giuoco Piano Game: Evans Declined, Cordel Variation	Giuoco-Piano-Game-Evans-Declined-Cordel-Variation	Italian Game	Giuoco Piano Game	Evans Declined	Cordel Variation				
Giuoco Piano Game: Evans Declined, Hirschbach, Hicken Variation	Giuoco-Piano-Game-Evans-Declined-Hirschbach-Hicken-Variation	Italian Game	Giuoco Piano Game	Evans Declined	Hirschbach Variation	Hicken Variation			
Giuoco Piano Game: Evans Declined, Hirschbach Variation	Giuoco-Piano-Game-Evans-Declined-Hirschbach-Variation	Italian Game	Giuoco Piano Game	Evans Declined	Hirschbach Variation				
Giuoco Piano Game: Evans Declined, Hirschbach, Vasquez Variation	Giuoco-Piano-Game-Evans-Declined-Hirschbach-Vasquez-Variation	Italian Game	Giuoco Piano Game	Evans Declined	Hirschbach Variation	Vasquez Variation			
Giuoco Piano Game: Evans Declined, Lange, Pavlov Variation	Giuoco-Piano-Game-Evans-Declined-Lange-Pavlov-Variation	Italian Game	Giuoco Piano Game	Evans Declined	Lange Variation	Pavlov Variation			
Giuoco Piano Game: Evans Declined, Lange Variation	Giuoco-Piano-Game-Evans-Declined-Lange-Variation	Italian Game	Giuoco Piano Game	Evans Declined	Lange Variation				
Giuoco Piano Game: Evans Declined, Showalter Variation	Giuoco-Piano-Game-Evans-Declined-Showalter-Variation	Italian Game	Giuoco Piano Game	Evans Declined	Showalter Variation				
Giuoco Piano Game: Evans, Fontaine Countergambit	Giuoco-Piano-Game-Evans-Fontaine-Countergambit	Italian Game	Giuoco Piano Game	Evans	Fontaine Countergambit				
Giuoco Piano Game: Evans Gambit	Giuoco-Piano-Game-Evans-Gambit	Italian Game	Giuoco Piano Game	Evans Gambit					
Giuoco Piano Game: Evans Gambit Accepted	Giuoco-Piano-Game-Evans-Gambit-Accepted	Italian Game	Giuoco Piano Game	Evans Gambit Accepted					
Giuoco Piano Game: Evans Gambit Declined	Giuoco-Piano-Game-Evans-Gambit-Declined	Italian Game	Giuoco Piano Game	Evans Gambit Declined					
Giuoco Piano Game: Evans, Hein Countergambit	Giuoco-Piano-Game-Evans-Hein-Countergambit	Italian Game	Giuoco Piano Game	Evans	Hein Countergambit				
Giuoco Piano Game: Four Knights Game	Giuoco-Piano-Game-Four-Knights-Game	Italian Game	Giuoco Piano Game	Four Knights Game					
Giuoco Piano Game: Giuoco Pianissimo, Italian Four Knights, Canal Variation	Giuoco-Piano-Game-Giuoco-Pianissimo-Italian-Four-Knights-Canal-Variation	Italian Game	Giuoco Piano Game	Giuoco Pianissimo Variation	Italian Four Knights Variation	Canal Variation			
Giuoco Piano Game: Giuoco Pianissimo, Italian Four Knights Variation	Giuoco-Piano-Game-Giuoco-Pianissimo-Italian-Four-Knights-Variation	Italian Game	Giuoco Piano Game	Giuoco Pianissimo Variation	Italian Four Knights Variation				
Giuoco Piano Game: Giuoco Pianissimo, Lucchini, Dubois Variation	Giuoco-Piano-Game-Giuoco-Pianissimo-Lucchini-Dubois-Variation	Italian Game	Giuoco Piano Game	Giuoco Pianissimo Variation	Lucchini Gambit	Dubois Variation			
Giuoco Piano Game: Giuoco Pianissimo, Lucchini Gambit	Giuoco-Piano-Game-Giuoco-Pianissimo-Lucchini-Gambit	Italian Game	Giuoco Piano Game	Giuoco Pianissimo Variation	Lucchini Gambit				
Giuoco Piano Game: Giuoco Pianissimo, Main Line	Giuoco-Piano-Game-Giuoco-Pianissimo-Main-Line	Italian Game	Giuoco Piano Game	Giuoco Pianissimo Variation	Main Line				
Giuoco Piano Game: Giuoco Pianissimo Variation	Giuoco-Piano-Game-Giuoco-Pianissimo-Variation	Italian Game	Giuoco Piano Game	Giuoco Pianissimo Variation					
Giuoco Piano Game: Italian Gambit	Giuoco-Piano-Game-Italian-Gambit	Italian Game	Giuoco Piano Game	Italian Gambit					
Giuoco Piano Game: Jerome Gambit	Giuoco-Piano-Game-Jerome-Gambit	Italian Game	Giuoco Piano Game	Jerome Gambit					
Giuoco Piano Game: Main Line	Giuoco-Piano-Game-Main-Line	Italian Game	Giuoco Piano Game	Main Line					
Giuoco Piano Game: Main Line, Albin Gambit	Giuoco-Piano-Game-Main-Line-Albin-Gambit	Italian Game	Giuoco Piano Game	Main Line	Albin Gambit				
Giuoco Piano Game: Main Line, Alexandre Gambit	Giuoco-Piano-Game-Main-Line-Alexandre-Gambit	Italian Game	Giuoco Piano Game	Main Line	Alexandre Gambit				
Giuoco Piano Game: Main Line, Bird's Attack	Giuoco-Piano-Game-Main-Line-Birds-Attack	Italian Game	Giuoco Piano Game	Main Line	Bird's Attack				
Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation	Giuoco-Piano-Game-Main-Line-Giuoco-Pianissimo-Variation	Italian Game	Giuoco Piano Game	Main Line	Giuoco Pianissimo Variation				
Giuoco Piano Game: Main Line, La Bourdonnais Variation	Giuoco-Piano-Game-Main-Line-La-Bourdonnais-Variation	Italian Game	Giuoco Piano Game	Main Line	La Bourdonnais Variation				
Grob Opening	Grob-Opening	Starting Position	Grob Opening						
Grob Opening: Alessi Gambit	Grob-Opening-Alessi-Gambit	Starting Position	Grob Opening	Alessi Gambit					
Grob Opening: Bucker Defense	Grob-Opening-Bucker-Defense	Starting Position	Grob Opening	Bucker Defense					
Grob Opening: Deferred Spike Attack	Grob-Opening-Deferred-Spike-Attack	Starting Position	Grob Opening	Deferred Spike Attack					
Grob Opening: Double Grob, Coca-Cola Gambit	Grob-Opening-Double-Grob-Coca-Cola-Gambit	Starting Position	Grob Opening	Double Grob Variation	Coca-Cola Gambit				
Grob Opening: Double Grob Variation	Grob-Opening-Double-Grob-Variation	Starting Position	Grob Opening	Double Grob Variation					
Grob Opening: Grob Gambit	Grob-Opening-Grob-Gambit	Starting Position	Grob Opening	Grob Gambit					
Grob Opening: Grob Gambit, Basman Gambit	Grob-Opening-Grob-Gambit-Basman-Gambit	Starting Position	Grob Opening	Grob Gambit Declined	Basman Gambit				
Grob Opening: Grob Gambit Declined	Grob-Opening-Grob-Gambit-Declined	Starting Position	Grob Opening	Grob Gambit Declined					
Grob Opening: Grob Gambit Declined, Richter-Grob Gambit	Grob-Opening-Grob-Gambit-Declined-Richter-Grob-Gambit	Starting Position	Grob Opening	Grob Gambit Declined	Richter-Grob Gambit				
Grob Opening: Grob Gambit Declined, Short Spike Variation	Grob-Opening-Grob-Gambit-Declined-Short-Spike-Variation	Starting Position	Grob Opening	Grob Gambit Declined	Short Spike Variation				
Grob Opening: Grob Gambit Declined, Spike Attack	Grob-Opening-Grob-Gambit-Declined-Spike-Attack	Starting Position	Grob Opening	Grob Gambit Declined	Spike Attack				
Grob Opening: Grob Gambit, Fritz Gambit	Grob-Opening-Grob-Gambit-Fritz-Gambit	Starting Position	Grob Opening	Grob Gambit Declined	Fritz Gambit				
Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit	Grob-Opening-Grob-Gambit-Fritz-Gambit-Romford-Countergambit	Starting Position	Grob Opening	Grob Gambit Declined	Fritz Gambit	Romford Countergambit			
Grob Opening: Grob Gambit, Hurst Attack	Grob-Opening-Grob-Gambit-Hurst-Attack	Starting Position	Grob Opening	Grob Gambit Declined	Hurst Attack				
Grob Opening: Grob Gambit, Keres Gambit	Grob-Opening-Grob-Gambit-Keres-Gambit	Starting Position	Grob Opening	Grob Gambit Declined	Keres Gambit				
Grob Opening: Grob Gambit with 2.Bg2	Grob-Opening-Grob-Gambit-with-2-Bg2	Starting Position	Grob Opening	Grob Gambit	with 2.Bg2				
Grob Opening: Keene Defense	Grob-Opening-Keene-Defense	Starting Position	Grob Opening	Keene Defense					
Grob Opening: Keene, Main Line	Grob-Opening-Keene-Main-Line	Starting Position	Grob Opening	Keene Defense	Main Line				
Grob Opening: London Defense	Grob-Opening-London-Defense	Starting Position	Grob Opening	London Defense					
Grob Opening: Zilbermints Gambit	Grob-Opening-Zilbermints-Gambit	Starting Position	Grob Opening	Zilbermints Gambit					
Grob Opening: Zilbermints Gambit, Schiller Defense	Grob-Opening-Zilbermints-Gambit-Schiller-Defense	Starting Position	Grob Opening	Zilbermints Gambit	Schiller Defense				
Grob Opening: Zilbermints-Hartlaub Gambit	Grob-Opening-Zilbermints-Hartlaub-Gambit	Starting Position	Grob Opening	Zilbermints-Hartlaub Gambit					
Grünfeld Defense	Grunfeld-Defense	Grünfeld Defense	Grünfeld Defense						
Grünfeld Defense: Accelerated Russian Variation	Grunfeld-Defense-Accelerated-Russian-Variation	Grünfeld Defense	Grünfeld Defense	Accelerated Russian Variation					
Grünfeld Defense: Brinckmann Attack	Grunfeld-Defense-Brinckmann-Attack	Grünfeld Defense	Grünfeld Defense	Brinckmann Attack					
Grünfeld Defense: Brinckmann, Capablanca, Botvinnik Variation	Grunfeld-Defense-Brinckmann-Capablanca-Botvinnik-Variation	Grünfeld Defense	Grünfeld Defense	Brinckmann Attack	Capablanca Variation	Botvinnik Variation			
Grünfeld Defense: Brinckmann, Capablanca, Reshevsky Gambit	Grunfeld-Defense-Brinckmann-Capablanca-Reshevsky-Gambit	Grünfeld Defense	Grünfeld Defense	Brinckmann Attack	Capablanca Variation	Reshevsky Gambit			
Grünfeld Defense: Brinckmann, Capablanca Variation	Grunfeld-Defense-Brinckmann-Capablanca-Variation	Grünfeld Defense	Grünfeld Defense	Brinckmann Attack	Capablanca Variation				
Grünfeld Defense: Brinckmann, Grünfeld Gambit	Grunfeld-Defense-Brinckmann-Grunfeld-Gambit	Grünfeld Defense	Grünfeld Defense	Brinckmann Attack	Grünfeld Gambit				
Grünfeld Defense: Brinckmann, Grünfeld Gambit Accepted	Grunfeld-Defense-Brinckmann-Grunfeld-Gambit-Accepted	Grünfeld Defense	Grünfeld Defense	Brinckmann Attack	Grünfeld Gambit Accepted				
Grünfeld Defense: Burille, Opočenský Variation	Grunfeld-Defense-Burille-Opocensky-Variation	Grünfeld Defense	Grünfeld Defense	Burille Variation	Opočenský Variation				
Grünfeld Defense: Burille, Paris, Flohr Defense	Grunfeld-Defense-Burille-Paris-Flohr-Defense	Grünfeld Defense	Grünfeld Defense	Burille Variation	Paris Variation	Flohr Defense			
Grünfeld Defense: Burille, Paris Variation	Grunfeld-Defense-Burille-Paris-Variation	Grünfeld Defense	Grünfeld Defense	Burille Variation	Paris Variation				
Grünfeld Defense: Burille Variation	Grunfeld-Defense-Burille-Variation	Grünfeld Defense	Grünfeld Defense	Burille Variation					
Grünfeld Defense: Burille, Vienna, Botvinnik Variation	Grunfeld-Defense-Burille-Vienna-Botvinnik-Variation	Grünfeld Defense	Grünfeld Defense	Burille Variation	Vienna Variation	Botvinnik Variation			
Grünfeld Defense: Burille, Vienna, Pachman Variation	Grunfeld-Defense-Burille-Vienna-Pachman-Variation	Grünfeld Defense	Grünfeld Defense	Burille Variation	Vienna Variation	Pachman Variation			
Grünfeld Defense: Burille, Vienna Variation	Grunfeld-Defense-Burille-Vienna-Variation	Grünfeld Defense	Grünfeld Defense	Burille Variation	Vienna Variation				
Grünfeld Defense: Exchange, Classical, Improved Simagin Variation	Grunfeld-Defense-Exchange-Classical-Improved-Simagin-Variation	Grünfeld Defense	Grünfeld Defense	Exchange Variation	Classical Variation	Improved Simagin Variation			
Grünfeld Defense: Exchange, Classical, Larsen Variation	Grunfeld-Defense-Exchange-Classical-Larsen-Variation	Grünfeld Defense	Grünfeld Defense	Exchange Variation	Classical Variation	Larsen Variation			
Grünfeld Defense: Exchange, Classical, Lesser Simagin Variation	Grunfeld-Defense-Exchange-Classical-Lesser-Simagin-Variation	Grünfeld Defense	Grünfeld Defense	Exchange Variation	Classical Variation	Lesser Simagin Variation			
Grünfeld Defense: Exchange, Classical, Seville Variation	Grunfeld-Defense-Exchange-Classical-Seville-Variation	Grünfeld Defense	Grünfeld Defense	Exchange Variation	Classical Variation	Seville Variation			
Grünfeld Defense: Exchange, Classical Variation	Grunfeld-Defense-Exchange-Classical-Variation	Grünfeld Defense	Grünfeld Defense	Exchange Variation	Classical Variation				
Grünfeld Defense: Exchange, Kemeri Variation	Grunfeld-Defense-Exchange-Kemeri-Variation	Grünfeld Defense	Grünfeld Defense	Exchange Variation	Kemeri Variation				
Grünfeld Defense: Exchange, Main Line	Grunfeld-Defense-Exchange-Main-Line	Grünfeld Defense	Grünfeld Defense	Exchange Variation	Main Line				
